Dimension,Profile,Perturbation Magnitude,Quantum Coherence
128,Linear,0.0,1.0
128,Linear,0.006122448979591836,0.9406120582638513
128,Linear,0.012244897959183673,0.8847510441513589
128,Linear,0.01836734693877551,0.8322075006903012
128,Linear,0.024489795918367346,0.7827844101269198
128,Linear,0.03061224489795918,0.7362964551863367
128,Linear,0.03673469387755102,0.6925693242051977
128,Linear,0.04285714285714285,0.6514390575310556
128,Linear,0.04897959183673469,0.6127514327377497
128,Linear,0.055102040816326525,0.5763613863515785
128,Linear,0.06122448979591836,0.542132469919965
128,Linear,0.06734693877551019,0.509936338383084
128,Linear,0.07346938775510203,0.47965226883004436
128,Linear,0.07959183673469386,0.4511667078351543
128,Linear,0.0857142857142857,0.42437284567695
128,Linear,0.09183673469387753,0.3991702158434837
128,Linear,0.09795918367346938,0.37546431832216504
128,Linear,0.10408163265306122,0.3531662652616454
128,Linear,0.11020408163265305,0.33219244767711364
128,Linear,0.11632653061224489,0.3124642219492766
128,Linear,0.12244897959183672,0.29390761494152184
128,Linear,0.12857142857142856,0.27645304662956444
128,Linear,0.13469387755102039,0.2600350692035471
128,Linear,0.14081632653061224,0.24459212166433134
128,Linear,0.14693877551020407,0.23006629899380912
128,Linear,0.15306122448979592,0.21640313503371345
128,Linear,0.15918367346938772,0.2035513982588113
128,Linear,0.16530612244897958,0.19146289967870542
128,Linear,0.1714285714285714,0.1800923121479525
128,Linear,0.17755102040816326,0.16939700040698147
128,Linear,0.18367346938775506,0.15933686121653337
128,Linear,0.1897959183673469,0.149874172986185
128,Linear,0.19591836734693877,0.140973454333128
128,Linear,0.2020408163265306,0.1326013310408486
128,Linear,0.20816326530612245,0.12472641091885885
128,Linear,0.21428571428571425,0.11731916609425083
128,Linear,0.2204081632653061,0.11035182229371188
128,Linear,0.22653061224489793,0.10379825470085514
128,Linear,0.23265306122448978,0.09763388999836681
128,Linear,0.23877551020408158,0.09183561422767024
128,Linear,0.24489795918367344,0.08638168612061393
128,Linear,0.25102040816326526,0.08125165557821265
128,Linear,0.2571428571428571,0.07642628699076812
128,Linear,0.26326530612244897,0.07188748711185017
128,Linear,0.26938775510204077,0.06761823721569354
128,Linear,0.2755102040816326,0.06360252928362682
128,Linear,0.2816326530612245,0.05982530598025908
128,Linear,0.2877551020408163,0.056272404194356244
128,Linear,0.29387755102040813,0.05293050193270874
128,Linear,0.3,0.04978706836786394
128,Quadratic,0.0,1.0
128,Quadratic,0.00012494793835901704,0.9987513008907621
128,Quadratic,0.0004997917534360682,0.9950145512741385
128,Quadratic,0.0011245314452311536,0.9888176777527631
128,Quadratic,0.0019991670137442727,0.9802068382609893
128,Quadratic,0.003123698458975426,0.9692458495266095
128,Quadratic,0.004498125780924614,0.9560153994881722
128,Quadratic,0.006122448979591836,0.9406120582638513
128,Quadratic,0.00799666805497709,0.9231471046282158
128,Quadratic,0.010120783007080381,0.9037451879402278
128,Quadratic,0.012494793835901704,0.8825428480174934
128,Quadratic,0.015118700541441061,0.8596869175179283
128,Quadratic,0.017992503123698458,0.8353328329331048
128,Quadratic,0.02111620158267388,0.8096428812937165
128,Quadratic,0.024489795918367346,0.7827844101269197
128,Quadratic,0.028113286130778833,0.7549280280917718
128,Quadratic,0.03198667221990836,0.7262458230700588
128,Quadratic,0.03610995418575593,0.6969096233356075
128,Quadratic,0.040483132028321524,0.6670893258072601
128,Quadratic,0.04510620574760516,0.636951313360591
128,Quadratic,0.04997917534360682,0.6066569807909467
128,Quadratic,0.055102040816326525,0.5763613863515786
128,Quadratic,0.060474802165764244,0.5462120429059693
128,Quadratic,0.06609745939192002,0.5163478597055571
128,Quadratic,0.07197001249479383,0.4868982427058664
128,Quadratic,0.07809246147438567,0.45798235823661715
128,Quadratic,0.08446480633069552,0.42970856181234796
128,Quadratic,0.09108704706372342,0.40217399097175244
128,Quadratic,0.09795918367346938,0.3754643183221649
128,Quadratic,0.10508121615993336,0.3496536584885329
128,Quadratic,0.11245314452311533,0.3248046204633961
128,Quadratic,0.12007496876301538,0.30096849495643396
128,Quadratic,0.12794668887963345,0.27818556477027545
128,Quadratic,0.1360683048729696,0.25648552499552235
128,Quadratic,0.14443981674302372,0.23588799892539708
128,Quadratic,0.1530612244897959,0.21640313503371345
128,Quadratic,0.1619325281132861,0.1980322701260526
128,Quadratic,0.17105372761349436,0.18076864384331712
128,Quadratic,0.18042482299042065,0.1645981500438306
128,Quadratic,0.19004581424406491,0.149500111184798
128,Quadratic,0.19991670137442727,0.13544806263278605
128,Quadratic,0.21003748438150766,0.12241053482020701
128,Quadratic,0.2204081632653061,0.11035182229371188
128,Quadratic,0.23102873802582252,0.09923272993401305
128,Quadratic,0.24189920866305697,0.08901128792889629
128,Quadratic,0.2530195751770095,0.07964342841779071
128,Quadratic,0.2643898375676801,0.07108361806542138
128,Quadratic,0.2760099958350687,0.06328544213504818
128,Quadratic,0.2878800499791753,0.05620213689336405
128,Quadratic,0.3,0.04978706836786394
128,Exponential,0.0,1.0
128,Exponential,0.006185350118971034,0.940020588602145
128,Exponential,0.012498228758256279,0.8825125338765545
128,Exponential,0.018941265279683338,0.8274449887465796
128,Exponential,0.025517143256824904,0.7747836634220653
128,Exponential,0.032228601592727335,0.7244909447441844
128,Exponential,0.039078435660684537,0.6765260286788702
128,Exponential,0.0460694984685323,0.630845065462064
128,Exponential,0.05320470184694759,0.5874013168043343
128,Exponential,0.06048701766224811,0.5461453244681506
128,Exponential,0.06791947905419715,0.5070250894392025
128,Exponential,0.0755051816993293,0.46998626082464545
128,Exponential,0.08324728510032328,0.4349723335270919
128,Exponential,0.09114901390195866,0.401924853664571
128,Exponential,0.09921365923420497,0.37078363063459424
128,Exponential,0.10744458008300214,0.3414869546559173
128,Exponential,0.11584520468930383,0.3139718185655001
128,Exponential,0.12441903197696569,0.28817414260151875
128,Exponential,0.13316963301007334,0.26402900086684467
128,Exponential,0.14210065248031836,0.24147084814197353
128,Exponential,0.1512158102250394,0.22043374570259597
128,Exponential,0.160518902776563,0.20085158479534498
128,Exponential,0.17001380494348767,0.18265830643615688
128,Exponential,0.17970447142457185,0.1657881162193478
128,Exponential,0.18959493845589492,0.1501756928620379
128,Exponential,0.19968932549198096,0.13575638925780922
128,Exponential,0.20999183692158216,0.12246642487525845
128,Exponential,0.22050676381883944,0.11024306841087235
128,Exponential,0.23123848573054648,0.0990248096908376
128,Exponential,0.24219147250026463,0.08875151991214165
128,Exponential,0.2533702861300466,0.07936459941867076
128,Exponential,0.264779582680545,0.07080711232178814
128,Exponential,0.27642411421029683,0.06302390739579262
128,Exponential,0.28830873075499164,0.055961724805271756
128,Exponential,0.3004383823475486,0.04956928835212297
128,Exponential,0.3128181210798426,0.0437973830632781
128,Exponential,0.32545310320693865,0.038598918074222895
128,Exponential,0.3383485912947114,0.033928974896501034
128,Exponential,0.35150995641174404,0.029744841287790934
128,Exponential,0.364942680366418,0.026006031069096238
128,Exponential,0.3786523579901292,0.022674290353435878
128,Exponential,0.3926446994675766,0.019713590762566104
128,Exponential,0.4069255327150981,0.017090110311241486
128,Exponential,0.42150080580804156,0.01477220273101039
128,Exponential,0.4363765894581831,0.012730356086388677
128,Exponential,0.4515590795422253,0.01093714160451741
128,Exponential,0.4670545996824262,0.009367153694349475
128,Exponential,0.4828696038804362,0.00799694217252678
128,Exponential,0.4990106792054385,0.006804937740144337
128,Exponential,0.5154845485377135,0.005771371767537498
